name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
mlinfra,,https://mlinfra.io/latest/,logos/c5868197b6b2456846be1e38108c4b64cafde52399b035da101fcdc8311babb1.svg,,,,,,,,,mlinfra deploys ML Infrastructure and MLOps tooling anywhere quickly and with best practices with a single command,,,,,,,,,,,,Application Development,IDE & Workspace,,,,,,,,,,,,,,,,,,,,,,,,
Modal,,https://modal.com/,logos/bd7eaeacb825b83d40ac14d039af1fec0839cae8bd9fa3db472a8afcb54b30e8.svg,https://twitter.com/modal_labs,https://www.crunchbase.com/organization/modal-labs,,,,,,,"Run generative AI models, large-scale batch jobs, job queues, and much more.",,,,,,,,,,,,Runtime,Inference & Deployment,,,,,,,,,,,,,,,,,,,,,,,,
Modular Max,,https://www.modular.com/max,logos/3847889e9743906eb4237918a9f5ae03e0619495c560880f184f5955061644ae.svg,https://twitter.com/modular,https://www.crunchbase.com/organization/modular-ai,,,,,,,Modular is an AI software developer platform that unifies the development and deployment of AI for everyone.,,,,,,,,,,,,Runtime,Inference & Deployment,,,,,,,,,,,,,,,,,,,,,,,,
Momentic,,https://momentic.ai/,logos/921f3f6f9c0773291380f644a11c09c11d8ab65e0ab69ffdbd854127c5a6b9ee.svg,https://twitter.com/MomenticAI,https://www.crunchbase.com/organization/momentic-0b4b,,,,,,,Momentic enables developers to deploy AI agents to test web apps end-to-end. No code required - just describe user flows using natural language.,,,,,,,,,,,,Application Development,Testing & Debugging,,,,,,,,,,,,,,,,,,,,,,,,
MyScale,,https://myscale.com/,logos/83659f813ead26623471eff01e25965acaa4aa4ec2de7c33b31e55e035723024.svg,https://twitter.com/MyScaleDB,,,,,,,,The SQL Vector Database for Scalable AI,,,,,,,,,,,,Data Management,Vector Database,,,,,,,,,,,,,,,,,,,,,,,,
Mystic AI,,https://www.mystic.ai/,logos/69532eb19545f21dce0965e60e27f5270af342b694876a8684476544e1732a19.svg,https://twitter.com/mysticdotai,https://www.crunchbase.com/organization/neuro-ai,,,,,,,Run AI models as a scalable and secure API in your cloud or on our serverless cloud.,,,,,,,,,,,,Runtime,Inference & Deployment,,,,,,,,,,,,,,,,,,,,,,,,
Nebius AI,,https://nebius.ai,logos/72f5af44e8b702220110337a966facde9fb0ab6e3af5dd6026cd795546e8e7ba.svg,https://twitter.com/nebiusofficial,https://www.crunchbase.com/organization/nebius,,,,,,,AI-centric cloud platform ready for intensive workloads with NVIDIA® H100 Tensor Core GPUs.,,,,,,,,,,,,Hardware & Cloud,Cloud Provider,,,,,,,,,,,,,,,,,,,,,,,,
NEUM,,https://www.neum.ai/,logos/9e4bd2b93d636238db31176d73a8b3598e3cae9497d61a4189c99248e282312c.svg,https://twitter.com/neum_ai,https://www.crunchbase.com/organization/neum-ai,,,opensource,,,,"Neum AI is a data platform that helps developers leverage their data to contextualize Large Language Models through Retrieval Augmented Generation (RAG) This includes extracting data from existing data sources like document storage and NoSQL, processing the contents into vector embeddings and ingesting the vector embeddings into vector databases for similarity search.",,,,,,,,,,,,Data Management,ETL & Data Pipeline,,,,,,,,,,,,,,,,,,,,,,,,
NOMIC atlas,,https://atlas.nomic.ai/,logos/461eaab9162f3c15a0e1a69a65a90627cf3526c5f3cf744031d8b1e7e3a1f96c.svg,https://twitter.com/nomic_ai,https://www.crunchbase.com/organization/nomic-ai,,,,,,,"Interact, discover insights and build with unstructured text, image and audio data.",,,,,,,,,,,,Data Management,ETL & Data Pipeline,,,,,,,,,,,,,,,,,,,,,,,,
OctoAI,,https://octo.ai/,logos/3f1559a1586f486661cf4e4a30ccbfdaaca6344e5e3720ce5f66bfe6acb1a40a.svg,https://twitter.com/octoaicloud,https://www.crunchbase.com/organization/octoml,,,,,,,"OctoAI delivers production-grade GenAI solutions running on the most efficient compute, empowering builders to launch the next generation of AI applications.",,,,,,,,,,,,Runtime,Inference & Deployment,,,,,,,,,,,,,,,,,,,,,,,,
Openlayer,,https://www.openlayer.com/,logos/babab36e589c852aac6ea3cfb5bade35a7e1bbe153711263d6c1565b430ad52f.svg,https://twitter.com/openlayerco,https://www.crunchbase.com/organization/unbox-3db0,,,,,,,Openlayer is an evaluation tool that fits into your development and production pipelines to help you ship high-quality models with confidence.,,,,,,,,,,,,Application Development,Observability & Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
OpenModelZ,,https://docs.open.modelz.ai/,logos/afd5e53c9c5a2cafb58cf76e88da60eee3db91a0c024853e77d9377c6bd3a6f4.svg,https://twitter.com/tensorchord,https://www.crunchbase.com/organization/tensorchord,,,opensource,,,,"OpenModelZ is tool to deploy your models to any cluster (GCP, AWS, Lambda labs, your home lab, or even a single machine).",,,,,,,,,,,,Runtime,Inference & Deployment,,,,,,,,,,,,,,,,,,,,,,,,
Palqee PAM,,https://palqee.ai,logos/52fb4156d0d8cae19b71b835f2884d9f903d009902ca948eb3c3642c1640d97e.svg,,,,,,,,,"Achieve Explainable AI with Contextual Bias Detection. PAM adds a contextual layer to your bias assessment methods. Ensure compliance, drive success, and foster responsible AI practices in your organization.",,,,,,,,,,,,Application Development,Observability & Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
Patronus,,https://www.patronus.ai/,logos/0a8790dee58027ba57cda385f7436cc2590a530cb0120c49e51ed2988de1798a.svg,https://twitter.com/PatronusAI,https://www.crunchbase.com/organization/patronus-ai-61cd,,,,,,,Detect LLM mistakes at scale and use generative AI with confidence,,,,,,,,,,,,Application Development,Observability & Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
pgvecto.rs,,https://pgvecto.rs,logos/1c231b919749232baaa765eac221dd6d0faeafdf50195e8bf1d482f2076f50e9.svg,https://twitter.com/tensorchord,https://www.crunchbase.com/organization/tensorchord,,,opensource,,,,"Scalable Vector Search in Postgres. Revolutionize Vector Search, not Database.",,,,,,,,,,,,Data Management,Vector Database,,,,,,,,,,,,,,,,,,,,,,,,
pgvector,,https://github.com/pgvector/pgvector,,,,,,opensource,,,,Open-source vector similarity search for Postgres,,,,,,,,,,,,Data Management,Vector Database,,,,,,,,,,,,,,,,,,,,,,,,
Phidata,,https://www.phidata.com,logos/c814c2245b2e12ca2b78d4cc972aba46b201e30c7f20067d7d8d215931c60598.svg,https://twitter.com/phidatahq,,,,opensource,,,,Phidata is a toolkit for building AI Assistants using function calling.,,,,,,,,,,,,Application Development,Agent & Prompt Framework,,,,,,,,,,,,,,,,,,,,,,,,
pinecone,,https://www.pinecone.io/,logos/f25e177bc67ad1f39df286844d5a99f6bf32c60340abf78b837b078c361e49a6.svg,https://twitter.com/pinecone,https://www.crunchbase.com/organization/pinecone,,,,,,,"Pinecone serverless lets you deliver remarkable GenAI applications faster, at up to 50x lower cost.",,,,,,,,,,,,Data Management,Vector Database,,,,,,,,,,,,,,,,,,,,,,,,
PlayHT,,https://play.ht/,logos/52823d63523ebdd3cefea4829ed8ec8d8a2a4b4456e6fefbbba87a41b66f0d65.svg,https://twitter.com/play_ht,https://www.crunchbase.com/organization/play-ht,,,,,,,"Generate AI Voices, Indistinguishable from Humans",,,,,,,,,,,,Foundation Model,Audio,,,,,,,,,,,,,,,,,,,,,,,,
Portkey,,https://portkey.ai/,logos/a836d4f4d82f55caae55b4f8b96b04dccc550f6ca49535fe4929551eac136ec1.svg,https://twitter.com/PortkeyAI,https://www.crunchbase.com/organization/portkey,,,opensource,,,,A Blazing Fast AI Gateway. Route to 100+ LLMs with 1 fast & friendly API.,,,,,,,,,,,,Orchestration,Gateway & Router,,,,,,,,,,,,,,,,,,,,,,,,
PostgresML,,https://postgresml.org/,logos/9a8793132f226c493ac6d7919a949910f2f85c0a9862f2cb48de2c6aca9d9dff.svg,https://twitter.com/postgresml,https://www.crunchbase.com/organization/postgresml,,,opensource,,,,"PostgresML is a complete MLOps platform in a PostgreSQL extension. Build simpler, faster and more scalable models right inside your database.",,,,,,,,,,,,Data Management,AI in DB,,,,,,,,,,,,,,,,,,,,,,,,
Predibase (ludwig),,https://predibase.com/,logos/64b6e5b18b41fe70a31ec0ec287883816268cdd3be79145097ec00e7309643bf.svg,https://twitter.com/ludwig_ai,https://www.crunchbase.com/organization/predibase,,,opensource,,,,"Predibase is a low-code AI platform built for developers. Train, finetune, and deploy any model, from linear regression to large language models. Predibase is built on top of the open source ML framework Ludwig.",,,,,,,,,,,,Runtime,Finetuning & RLHF,,,,,,,,,,,,,,,,,,,,,,,,
PromptLayer,,https://promptlayer.com/,logos/9403242c1b6a51727487ad2200be4fbc0c8ed14868018d63f677a2926ee23db9.svg,https://twitter.com/promptlayer,https://www.crunchbase.com/organization/magniv-ebaf,,,,,,,Visually manage prompts. Evaluate models. Log LLM requests. Search usage history. Collaborate as a team.,,,,,,,,,,,,Application Development,Observability & Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
Qdrant,,https://qdrant.tech/,logos/8d0f13df82fdac7151740fa44a0db0611085d63b3715a9fd5881c83dacc10960.svg,https://twitter.com/qdrant_engine,https://www.crunchbase.com/organization/qdrant,,,opensource,,,,Powering the next generation of AI applications with advanced and high-performant vector similarity search technology.,,,,,,,,,,,,Data Management,Vector Database,,,,,,,,,,,,,,,,,,,,,,,,
Reflex,,https://reflex.dev,logos/2daee143e4128c192a3d1cfd3c187f85679f8e27b67dc48e09fff0213bd00fd0.svg,https://twitter.com/getreflex,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,opensource,,,,"Performant, customizable web apps in pure Python. Deploy in seconds.",,,,,,,,,,,,Application Development,IDE & Workspace,,,,,,,,,,,,,,,,,,,,,,,,
replicate,,https://replicate.com/,logos/08538bd62a69cd01abebc1d63505bca38e28f5ef033986cc01308caa6e08e0ba.svg,https://twitter.com/replicate,https://www.crunchbase.com/organization/replicate,,,opensource,,,,Run and fine-tune open-source models. Deploy custom models at scale. All with one line of code.,,,,,,,,,,,,Runtime,Inference & Deployment,,,,,,,,,,,,,,,,,,,,,,,,
Resemble AI,,https://www.resemble.ai/,logos/885be2e931df4f1dee650c36ecfbf9404020ccf95441a9c8dfc89d7558159627.svg,https://twitter.com/resembleai,https://www.crunchbase.com/organization/resemble-ai,,,,,,,Generative Voice AI for Enterprise,,,,,,,,,,,,Foundation Model,Audio,,,,,,,,,,,,,,,,,,,,,,,,
RunPod,,https://www.runpod.io/,logos/165afe00a4641f5b9e5a4cfb96339e915dde5cd97d5c2be207304112181894db.svg,https://twitter.com/runpod_io,https://www.crunchbase.com/organization/runpod,,,,,,,"Globally distributed GPU cloud built for production. Develop, train, and scale AI applications.",,,,,,,,,,,,Runtime,Inference & Deployment,,,,,,,,,,,,,,,,,,,,,,,,
salad,,https://salad.com/,logos/e1be4d985768acafee8b6521e1f22ba33d72b076a671de1e9509613010a5c598.svg,https://twitter.com/salad_chefs,https://www.crunchbase.com/organization/salad-technologies,,,,,,,The Most Affordable Cloud for AI/ML Inference at Scale,,,,,,,,,,,,Hardware & Cloud,Cloud Provider,,,,,,,,,,,,,,,,,,,,,,,,
SambaNova,,https://sambanova.ai/,logos/a52de2658dd44c666ca16bb1d836d10439030e75c759e888bcc025df14d6324d.svg,https://twitter.com/SambaNovaAI,https://www.crunchbase.com/organization/sambanova-systems,,,,,,,SambaNova Systems builds AI hardware and integrated systems to run AI applications from the data center to the cloud.,,,,,,,,,,,,Hardware & Cloud,GPU,,,,,,,,,,,,,,,,,,,,,,,,
Seldon Core,,https://www.seldon.io/solutions/core-plus,logos/1f1b70945c7466d8c0c55b5a4be3c2941c6219b5013a1536b6dd3da24c741288.svg,https://twitter.com/seldon_io,https://www.crunchbase.com/organization/seldon,,,opensource,,,,"An MLOps framework to package, deploy, monitor and manage thousands of production machine learning models",,,,,,,,,,,,Runtime,Inference & Deployment,,,,,,,,,,,,,,,,,,,,,,,,
SkyPilot,,https://github.com/skypilot-org/skypilot,logos/881eb9b39291b2fee85a35a143158b758a40a82c2a2817a974b6f7c6d92aaab5.svg,https://twitter.com/skypilot_org,,,,opensource,,,,"Run LLMs, AI, and Batch jobs on any cloud. Get maximum savings and highest GPU availability — all with a simple interface.",,,,,,,,,,,,Orchestration,Workflow & Pipeline,,,,,,,,,,,,,,,,,,,,,,,,
Stable Diffusion,,https://stability.ai/stable-image,,,,,,opensource,,,,text-to-image model,,,,,,,,,,,,Foundation Model,Image,,,,,,,,,,,,,,,,,,,,,,,,
Streamlit,,https://streamlit.io/,logos/6972809cc68c773dce3ce09e6bd322bba9026e12302254ee0b67f0e0c03c0c41.svg,https://twitter.com/streamlit,https://www.crunchbase.com/organization/streamlit,,,opensource,,,,Streamlit turns data scripts into shareable web apps in minutes. All in pure Python. No front‑end experience required.,,,,,,,,,,,,Application Development,IDE & Workspace,,,,,,,,,,,,,,,,,,,,,,,,
supabase,,https://supabase.com/vector,logos/48fec684d8f9f7b0f93fa94fb4fbaa195d3cb299263c3c0fdaea11b43745ceb3.svg,https://twitter.com/supabase,https://www.crunchbase.com/organization/supabase,,,,,,,The Postgres Vector database and AI Toolkit,,,,,,,,,,,,Data Management,Vector Database,,,,,,,,,,,,,,,,,,,,,,,,
Superagent,,https://www.superagent.sh/,logos/e26de6da3b3133686736a9628fcac777fa697d2ea0206ef3e4e18dd8ddcb4560.svg,https://twitter.com/superagent_ai,,,,opensource,,,,The open source alternative to OpenAI Assistants API,,,,,,,,,,,,Application Development,Agent & Prompt Framework,,,,,,,,,,,,,,,,,,,,,,,,
Tabby,,https://tabby.tabbyml.com/,logos/c2216bfb8850433e30398dfc7e063c26ebbb9393c39f42dd802d05047eace911.svg,https://twitter.com/Tabby_ML,https://www.crunchbase.com/organization/tabbyml,,,opensource,,,,"Opensource, self-hosted AI coding assistant",,,,,,,,,,,,Foundation Model,Code,,,,,,,,,,,,,,,,,,,,,,,,
Tabnine,,https://www.tabnine.com/,logos/3ab4f05b22d3203ef8772f1325c7e9a91eb5129a09726ebaefbb4987701952d0.svg,https://twitter.com/tabnine,https://www.crunchbase.com/organization/tabnine,,,,,,,The AI coding assistant that you control,,,,,,,,,,,,Foundation Model,Code,,,,,,,,,,,,,,,,,,,,,,,,
Telescope Labs,,https://www.telescopelabs.io/,logos/65a626520f525b1a00febe49ad73ee1b080c232bb1ff1bab044034ed82d44d8d.svg,https://twitter.com/TelescopeLabs,https://www.crunchbase.com/organization/telescope-metanalytics,,,,,,,"Data driven decision-making made simple. No need for SQL or endless dashboards. Get the answers you need from your data, effortlessly, with the power of AI.",,,,,,,,,,,,Data Management,AI in DB,,,,,,,,,,,,,,,,,,,,,,,,
tensormatrix,,https://tensormatrix.com/,logos/91443261f19ba8d3af79d1cbf235f0097f302c11edc2a7bd5e57775020f617f9.svg,https://twitter.com/Tensor_matrix,,,,opensource,,,,"An integrated platform to fine-tune, deploy and manage LLM applications.",,,,,,,,,,,,Runtime,Finetuning & RLHF,,,,,,,,,,,,,,,,,,,,,,,,
text2sql,,https://www.text2sql.ai/,,https://twitter.com/text2sql,,,,,,,,Improve your SQL skills and save time using AI by generating optimized SQL queries effortlessly!,,,,,,,,,,,,Data Management,AI in DB,,,,,,,,,,,,,,,,,,,,,,,,
together.ai,,https://www.together.ai/,logos/60528c145cc682e5fd43d4b7f11bb1023112c3c952ba6392cb495e45eae6855e.svg,https://twitter.com/togethercompute,https://www.crunchbase.com/organization/together-1a7e,,,,,,,The fastest cloud platform for building and running generative AI.,,,,,,,,,,,,Runtime,Inference & Deployment,,,,,,,,,,,,,,,,,,,,,,,,
traceloop,,https://traceloop.com,logos/8fda05373e32bfb5274994b2f38e065f66ae328f8dcfded9100d5f2070f1e9a9.svg,https://twitter.com/traceloopdev,https://www.crunchbase.com/organization/traceloop,,,opensource,,,,"Traceloop monitors the quality of your LLM application in production using OpenTelemetry. It provides you with alerts, insights and gradual rollout capabilities to confidently deploy changes to your prompts and model configurations.",,,,,,,,,,,,Application Development,Observability & Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
UbiOps,,https://ubiops.com/,logos/5df6fccbebf227980eec5c3e7ba40367b9c383aeb77d74f55b7962205daf45e1.svg,https://twitter.com/UbiOps_,https://www.crunchbase.com/organization/dutch-analytics,,,,,,,"Powerful AI model serving and orchestration with unmatched simplicity, speed and scale. In cloud, on-premise, hybrid or multicloud.",,,,,,,,,,,,Runtime,Inference & Deployment,,,,,,,,,,,,,,,,,,,,,,,,
Unify,,https://unify.ai/,logos/598b7fdaf88bda12c0108bdaacb8864f0332973a9b74ae200242a8707baf159c.svg,,,,,,,,,The Best LLM on Every prompt.,,,,,,,,,,,,Orchestration,Gateway & Router,,,,,,,,,,,,,,,,,,,,,,,,
unstructured,,https://unstructured.io/,logos/dd0dcf70e779c63e5c67915db89dfa8b6bd5f7ac839e710ea4e576cc5a7ec1ae.svg,https://twitter.com/UnstructuredIO,https://www.crunchbase.com/organization/unstructured-technologies-inc,,,opensource,,,,"The unstructured library is designed to help preprocess structure unstructured text documents for use in downstream machine learning tasks. Examples of documents that can be processed using the unstructured library include PDFs, XML and HTML documents.",,,,,,,,,,,,Data Management,ETL & Data Pipeline,,,,,,,,,,,,,,,,,,,,,,,,
Vanna.AI,,https://vanna.ai/,logos/fe73dc95ff4ce3e5d84d9b68d4e315409ba7390e1ae7ad5d94a26029b7e3bbeb.svg,https://twitter.com/vannadotai,https://www.crunchbase.com/organization/vanna-ai,,,opensource,,,,Chat with your SQL. Python package for accurate Text-to-SQL Generation via LLMs using RAG,,,,,,,,,,,,Data Management,AI in DB,,,,,,,,,,,,,,,,,,,,,,,,
vespa,,https://vespa.ai,logos/54152fc77b408c196798f4a9094ad094c928eec099b06dd7dab814b72c0ea9a3.svg,https://twitter.com/vespaengine,https://www.crunchbase.com/organization/vespa-ai,,,opensource,,,,"the open source platform for combining data and AI, online.",,,,,,,,,,,,Data Management,Vector Database,,,,,,,,,,,,,,,,,,,,,,,,
vLLM,,https://docs.vllm.ai/en/latest/,logos/2ef3c5d5b2f3d189dabe42a7ed4570c3a568c5880b540f965b5601917fe81248.svg,,,,,opensource,,,,A high-throughput and memory-efficient inference and serving engine for LLMs,,,,,,,,,,,,Runtime,Inference & Deployment,,,,,,,,,,,,,,,,,,,,,,,,
weaviate,,https://weaviate.io/,logos/0015e8aded0c43f8af59a7afe9799050d181cb29181243d763e3320b31da5407.svg,https://twitter.com/weaviate_io,https://www.crunchbase.com/organization/weaviate,,,opensource,,,,"Weaviate is an open source, AI-native vector database that helps developers create intuitive and reliable AI-powered applications.",,,,,,,,,,,,Data Management,Vector Database,,,,,,,,,,,,,,,,,,,,,,,,
Weights & Biases,,https://wandb.ai/site,logos/a0ddbf9404ec80a40f4a24af02062bc5b7f68213aae311a75d815a3848c77451.svg,https://twitter.com/Weights_Biases,https://www.crunchbase.com/organization/weights-biases,,,,,,,"Weights & Biases helps AI developers build better models faster. Quickly track experiments, version and iterate on datasets, evaluate model performance, reproduce models, and manage your ML workflows end-to-end.",,,,,,,,,,,,Application Development,Observability & Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
WrenAI,,https://www.getwren.ai/,logos/f9d93295ac288aac536f7d8655aaa77b61401f41ec7a8a24629d43b7a60ada30.svg,https://twitter.com/getwrenai,https://www.crunchbase.com/organization/cannerdata,,,opensource,,,,Talk To Your Database. Get Accurate And Explainable Answers.,,,,,,,,,,,,Data Management,AI in DB,,,,,,,,,,,,,,,,,,,,,,,,
xinference,,https://xorbits.io/,logos/a150ef94f99cd18afe58aec1742a2ff1789e16fcda6309aa41ad6c32d1123b0f.svg,https://twitter.com/xorbitsio,https://www.crunchbase.com/organization/xorbits,,,opensource,,,,"Xorbits Inference(Xinference) is a powerful and versatile library designed to serve language, speech recognition, and multimodal models. With Xorbits Inference, you can effortlessly deploy and serve your or state-of-the-art built-in models using just a single command. Whether you are a researcher, developer, or data scientist, Xorbits Inference empowers you to unleash the full potential of cutting-edge AI models.",,,,,,,,,,,,Runtime,Inference & Deployment,,,,,,,,,,,,,,,,,,,,,,,,
ZenML,,https://zenml.io,logos/027138fa7719136fc530d27401a74d18b244f09d1d35eb57376c516010890b6c.svg,https://twitter.com/zenml_io,https://www.crunchbase.com/organization/zenml,,,opensource,,,,"ZenML is an extensible, open-source MLOps framework for creating portable, production-ready machine learning pipelines.",,,,,,,,,,,,Orchestration,Workflow & Pipeline,,,,,,,,,,,,,,,,,,,,,,,,
